Rank,School Name,School Type,Early Career Pay,Mid Career Pay,Percent of STEM Degrees
1,Massachusetts Institute of Technology,"Engineering, Private School, Research University","$110,200 ","$196,900 ",66%
2,Princeton University,"Engineering, Ivy League, Private School, Research University, For Sports Fans","$95,600 ","$194,100 ",53%
3,United States Naval Academy,"Engineering, Liberal Arts School, Sober School, For Sports Fans, State School","$96,700 ","$187,800 ",54%
4,Harvey Mudd College,"Engineering, Liberal Arts School, Private School","$115,000 ","$185,900 ",74%
5,Babson College,"Business, Private School","$90,600 ","$181,400 ",3%
6,Stanford University,"Private School, Research University, For Sports Fans","$102,300 ","$181,200 ",48%
7,Santa Clara University,"Private School, Religious, For Sports Fans","$91,000 ","$179,500 ",23%
8,Dartmouth College,"Ivy League, Private School, Research University, For Sports Fans","$92,300 ","$178,700 ",36%
9,University of Pennsylvania,"Ivy League, Private School, Research University, For Sports Fans","$92,500 ","$178,300 ",27%
10,Harvard University,"Ivy League, Private School, Research University, For Sports Fans","$95,600 ","$177,400 ",19%
11,Colgate University,"Liberal Arts School, Party School, Private School, For Sports Fans","$87,400 ","$176,100 ",25%
12,Lehigh University,"Private School, Research University, For Sports Fans","$89,100 ","$175,600 ",43%
13,California Institute of Technology,"Engineering, Private School, Research University","$111,000 ","$175,400 ",98%
14,Claremont McKenna College,"Liberal Arts School, Private School","$89,800 ","$175,000 ",19%
15,United States Military Academy,"Liberal Arts School, Sober School, For Sports Fans, State School","$95,400 ","$174,100 ",35%
16,Williams College,"Liberal Arts School, Private School","$85,800 ","$173,900 ",29%
17,Stevens Institute of Technology,"Engineering, Private School, Research University","$92,800 ","$172,900 ",76%
18,United States Air Force Academy,"Engineering, Liberal Arts School, Sober School, For Sports Fans, State School","$90,900 ","$172,800 ",54%
19,Yale University,"Ivy League, Private School, Research University, For Sports Fans","$92,100 ","$171,900 ",28%
20,University of California-Berkeley,"Research University, For Sports Fans, State School","$90,900 ","$170,100 ",44%
21,SUNY Maritime College,State School,"$89,100 ","$169,400 ",32%
21,Colorado School of Mines,"Engineering, Research University, State School","$89,900 ","$169,400 ",92%
23,United States Merchant Marine Academy,"Engineering, State School","$103,300 ","$168,700 ",55%
24,Georgetown University,"Private School, Religious, Research University, For Sports Fans","$84,300 ","$168,600 ",13%
25,Webb Institute,"Engineering, Private School","$97,500 ","$168,500 ",100%
26,Georgia Institute of Technology-Main Campus,"Engineering, Research University, For Sports Fans, State School","$92,900 ","$168,000 ",78%
27,Carnegie Mellon University,"Engineering, Private School, Research University","$100,500 ","$167,400 ",68%
28,Worcester Polytechnic Institute,"Engineering, Private School, Research University","$91,900 ","$166,200 ",84%
29,Rose-Hulman Institute of Technology,"Engineering, Private School","$93,000 ","$165,800 ",98%
30,University of Notre Dame,"Private School, Religious, Research University, For Sports Fans","$86,900 ","$165,500 ",32%
31,Washington and Lee University,"Liberal Arts School, Private School","$80,300 ","$164,400 ",19%
32,Duke University,"Private School, Religious, Research University, For Sports Fans","$90,500 ","$164,000 ",28%
33,Rensselaer Polytechnic Institute,"Engineering, Private School, Research University","$89,700 ","$163,500 ",78%
34,Swarthmore College,"Liberal Arts School, Private School","$82,600 ","$162,500 ",38%
35,Lafayette College,"Liberal Arts School, Private School, Religious, For Sports Fans","$86,200 ","$162,000 ",47%
36,California State University Maritime Academy,State School,"$85,800 ","$161,900 ",18%
37,The Cooper Union for the Advancement of Science and Art,"Engineering, Private School","$88,100 ","$160,500 ",60%
38,Brown University,"Ivy League, Private School, Research University, For Sports Fans","$88,000 ","$160,300 ",43%
39,Columbia University in the City of New York,"Ivy League, Private School, Research University, For Sports Fans","$92,500 ","$159,700 ",30%
40,Bucknell University,"Liberal Arts School, Party School, Private School, For Sports Fans","$85,200 ","$159,100 ",36%
41,Brandeis University,"Private School, Research University","$75,200 ","$158,700 ",36%
42,Cornell University,"Ivy League, Private School, Research University, For Sports Fans","$89,300 ","$158,600 ",44%
43,Manhattan College,"Private School, Religious, For Sports Fans","$79,800 ","$156,100 ",39%
44,University of California-San Diego,"Engineering, Research University, State School","$82,100 ","$156,000 ",51%
45,Union College (New York),"Liberal Arts School, Party School, Private School","$81,700 ","$155,700 ",49%
45,Samuel Merritt University,Private School,"$114,800 ","$155,700 ",0%
47,Bowdoin College,"Liberal Arts School, Private School","$78,400 ","$155,100 ",38%
